الحكم,الملف,الاسم,الطراز,التفصيل,السلوك
موحَّد,Equipments/asset_recon.php,"مطابقة سجل الأصول بالتشغيل",allforms/ems-form,"1 نموذج",طيّ
موحَّد,Equipments/code_bridge.php,"جسر ترقيم المعدات",allforms/ems-form,"1 نموذج",طيّ
موحَّد,Equipments/equipment_documents.php,"وثائق المعدات والمشغلين",allforms/ems-form,"1 نموذج",طيّ
موحَّد,Equipments/equipment_sourcing.php,"مصدر المعدة ونمط تملكها",allforms/ems-form,"1 نموذج",طيّ
موحَّد,Equipments/equipments_drivers.php,المعدات,allforms/ems-form,"1 نموذج",طيّ
موحَّد,Equipments/equipments_fleet.php,المعدات,allforms/ems-form,"1 نموذج",طيّ+زرّ
موحَّد,Equipments/equipments_types.php,"أنواع المعدات وفئاتها",allforms/ems-form,"1 نموذج",طيّ
موحَّد,Equipments/fleet_depreciation_profiles.php,"سياسات الإهلاك المعتمدة",allforms/ems-form,"1 نموذج",طيّ
موحَّد,Equipments/fleet_models.php,"موديلات المعدات ومواصفاتها",allforms/ems-form,"1 نموذج",طيّ
موحَّد,Equipments/manage_failure_codes.php,"تصنيف الأعطال وأسبابها",allforms/ems-form,"1 نموذج",طيّ+زرّ
موحَّد,Equipments/meter_readings.php,"قراءات العدادات",allforms/ems-form,"2 نموذج",—
موحَّد,Fleet/asset_assignments.php,"التخصيص على الوحدات",allforms/ems-form,"1 نموذج",طيّ+زرّ
موحَّد,fleet/asset_components.php,"المكونات والملحقات","عُدّةٌ: u13_screen_kit","ems-form u13-act · 8 حقلًا",—
موحَّد,Fleet/asset_exit.php,"الخروج المؤقت",allforms/ems-form,"1 نموذج",طيّ+زرّ
موحَّد,Fleet/asset_intake.php,"طلب إدخال الأصل",allforms/ems-form,"3 نموذج",طيّ+زرّ
موحَّد,Fleet/asset_use_rights.php,"حق الاستخدام التشغيلي",allforms/ems-form,"1 نموذج",طيّ+زرّ
موحَّد,fleet/code_reconciliation.php,"مصالحة مطابقة الأكواد","عُدّةٌ: u13_screen_kit","ems-form u13-act · 9 حقلًا",—
موحَّد,fleet/daily_operating_log.php,"السجل اليومي للتشغيل","عُدّةٌ: u13_screen_kit","ems-form u13-act · 9 حقلًا",—
موحَّد,fleet/exception_register.php,"سجل الاستثناءات","عُدّةٌ: u13_screen_kit","ems-form u13-act · 9 حقلًا",—
موحَّد,fleet/external_auditor_notes.php,"ملاحظات المراجع الخارجي","عُدّةٌ: u13_screen_kit","ems-form u13-act · 9 حقلًا",—
موحَّد,fleet/financed_asset_recon.php,"مصالحة الأعيان الممولة","عُدّةٌ: u13_screen_kit","ems-form u13-act · 9 حقلًا",—
موحَّد,fleet/fleet_board.php,"لوحة الأسطول","عُدّةٌ: u13_screen_kit","ems-form u13-act · 4 حقلًا",—
موحَّد,fleet/inspection_card.php,"بطاقة التفتيش","عُدّةٌ: u13_screen_kit","ems-form u13-act · 8 حقلًا",—
موحَّد,fleet/management_decisions.php,"حزمة القرارات الإدارية","عُدّةٌ: u13_screen_kit","ems-form u13-act · 7 حقلًا",—
