#	الإدارةُ المالكة	الملف	اسمُ الشاشة	المرحلة	المجموعة	الأعمدة	أطويلة	الأفعال	العارضون	حقولٌ حساسة	المناظر	الفصلُ في UX
1	الإدارة التنفيذية	ceo_approvals.php	اعتمادات الرئيس التنفيذي	ثانيًا: الاعتمادات العليا	صندوق الاعتمادات العليا	23	نعم	1	7	1	مطلوبة	الفصلُ ٢ — سجلُّ الشاشات
2	الإدارة التنفيذية	ceo_contracts.php	العقود والالتزامات المحجوزة أو المصعَّدة	ثالثًا: العقودُ والالتزاماتُ المحجوزةُ أو المصعَّدةُ للرئيس	توقيع العقود	30	نعم	1	4	2	مطلوبة	الفصلُ ٢ — سجلُّ الشاشات
3	الإدارة التنفيذية	risk_dept_ceo.php	المخاطر المؤسسية	مخاطرُ الإدارة	مخاطرُ إدارتي	22	نعم	3	1	1	مطلوبة	الفصلُ ٢ — سجلُّ الشاشات
4	الإدارة التنفيذية	ceo_risk.php	المخاطر والقرارات العليا	خامسًا: المخاطر والحسم	المخاطر والقرارات العليا	19	لا	1	1	0	غيرُ لازمة	الفصلُ ٢ — سجلُّ الشاشات
5	الإدارة التنفيذية	gov_dept_ceo.php	حوكمة مكتبُ الرئيس التنفيذي والنواب	—	—	15	لا	2	1	1	غيرُ لازمة	الفصلُ ٢ — سجلُّ الشاشات
6	الإدارة التنفيذية	project_charter.php	قرار فتح مشروع جديد	رابعًا: فتح المشاريع	قرار فتح مشروع	31	نعم	1	6	3	مطلوبة	الفصلُ ٢ — سجلُّ الشاشات
7	الإدارة التنفيذية	ceo_board.php	لوحة الرئيس التنفيذي	لوحة الإدارة التنفيذية	المؤشرات العليا	16	لا	1	0	3	غيرُ لازمة	الفصلُ ٢ — سجلُّ الشاشات
8	إدارة التشغيل	unit_assign.php	إسناد المعدات للوحدات	ثانيًا: توزيع الموارد	الإسناد للوحدات	27	نعم	1	3	1	مطلوبة	الفصلُ ٢ — سجلُّ الشاشات
9	إدارة التشغيل	unit_perf.php	الأداء الشهري للوحدة	رابعًا: متابعة الانحراف	الأداء الشهري	33	نعم	1	3	3	مطلوبة	الفصلُ ٢ — سجلُّ الشاشات
10	إدارة التشغيل	monthly_close.php	الإقفال الشهري للوحدة	سابعًا: إقفال اليوم	الإقفال	33	نعم	1	4	3	مطلوبة	الفصلُ ٢ — سجلُّ الشاشات
