#	المحور	ما يُقاس	الحالة	الدليلُ المطلوب
1	Load Testing	اختبارُ حملٍ بمستخدمين متزامنين	◆ لا دليلَ في v13	عددُ المستخدمين وزمنُ الاستجابةِ عند الذروة
2	p95 Latency	زمنُ الاستجابةِ للمئوي الخامسِ والتسعين	◆ لا دليل	لأثقلِ خمسِ شاشاتٍ في بيئةٍ حقيقية
3	Concurrent Users	المستخدمون المتزامنون المدعومون	◆ لا دليل	الحدُّ المختبَرُ لا المقدَّر
4	Database Throughput	إنتاجيةُ القاعدةِ عند الحمل	◆ لا دليل	عمليات/ثانيةً عند الذروة
5	Restore Test	تمرينُ استعادةٍ فعليٌّ موثَّق	◆ لا دليل	زمنُ استعادةٍ مقيسٌ لا مقدَّر
6	RPO	أقصى فقدِ بياناتٍ مقبول	◆ غيرُ معلَن	بالدقائقِ أو الساعات
7	RTO	أقصى زمنِ توقفٍ مقبول	◆ غيرُ معلَن	بالساعات
8	Disaster Recovery	خطةُ تعافٍ من كارثةٍ مختبَرة	◆ لا دليل	محضرُ تمرينٍ ناجح
9	DLQ Health	صحةُ طابورِ الرسائلِ الميتة	◆ لا دليل	عددُ المعلَّقِ وزمنُ بقائه
10	Event-Bus Lag	تأخرُ وسيطِ الأحداث	◆ لا دليل	الزمنُ بين النشرِ والاستهلاك
11	Job Scheduler Health	صحةُ مجدولِ المهام	جزئيٌّ — النبضُ الساعيُّ موثَّق	نجاحُ الكنساتِ الثمانِ وزمنُ كلٍّ
12	API Contracts	عقودُ واجهاتِ البرمجة	◆ لا دليل	مخطَّطٌ معلَنٌ وإصدارٌ وتوافقٌ رجعي
13	Offline Sync Conflict	اختبارُ تعارضِ المزامنة	◆ لا دليل	سيناريو تعديلين متزامنين من جهازين
◆	الحكم	—	—	لا يُعلَن «جاهزٌ للتشغيل المؤسسي» قبل دليلٍ لكلٍّ أو إعلانٍ صريحٍ بعدم قياسه
