0.692	Equipments/equipments.php	سجل المعدات	Equipments/equipments_fleet.php	المعدات	إدارة الأسطول	شاشةٌ مستقلة	معدة	يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر
0.636	Procurement/dashboard_proc.php	لوحة الإدارة (dashboard_proc)	Procurement/warehouse_board.php	لوحة الإدارة (warehouse_board)	إدارة المشتريات التشغيلية	تقرير	اداره · لوحه	يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر
0.54	Contracts/unit_statement_client.php	كشف التايم شيت — العميل	Suppliers/unit_statement_supplier.php	كشف التايم شيت — المورد	المبيعات والعقود ≠ إدارة الموردين	منظر	تايمشيت · كشف	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.528	Governance/guards.php	تصنيف قواعد المنع — الحوكمة — الالتزام والامتثال	Settings/guard_classification.php	تصنيف قواعد المنع — الحوكمة — الظهور وضبط البوابة	الحوكمة والالتزام	شاشةٌ مستقلة	تصنيف · حوكمه · قواعد · منع	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.5	Risk/risk_dept_sal.php	مخاطر المبيعات والعقود	Governance/gov_dept_sal.php	حوكمة المبيعات والعقود	المبيعات والعقود	منظر	مبيعات · والعقود	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.482	Operations/site_gate_equip.php	أذون دخول وخروج المعدات	Operations/site_gate_person.php	أذون دخول وخروج المشغّلين	إدارة الموقع	شاشةٌ مستقلة ≠ تبويبٌ في ملفِّ الكيانِ الأم	اذون · دخول · وخروج	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.472	Clients/contract_commitments.php	التزامات العقود	Contracts/contract_obligations.php	مصفوفة التزامات العقد	المبيعات والعقود	شاشةٌ مستقلة	تزامات · عقد	يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر
0.472	Procurement/dashboard_proc.php	لوحة الإدارة (dashboard_proc)	Transport/transfer_dashboard.php	لوحة الإدارة — النقل	إدارة المشتريات التشغيلية ≠ النقل والترحيل	تقرير	اداره · لوحه	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.465	Procurement/receipt_custody_proc.php	الاستلام المؤقت	Procurement/wh_receipt.php	الاستلام المؤقت قبل الإدخال	إدارة المشتريات التشغيلية ≠ إدارة المخازن	شاشةٌ مستقلة	استلام · مؤقت	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.462	emsreports/index.php	مركز التقارير — الحوكمة	Governance/gov_reports.php	تقارير الحوكمة	الحوكمة والالتزام	شاشةٌ مستقلة ≠ تقرير	تقرير · حوكمه	يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر
0.439	Procurement/warehouse_board.php	لوحة الإدارة (warehouse_board)	Transport/transfer_dashboard.php	لوحة الإدارة — النقل	إدارة المشتريات التشغيلية ≠ النقل والترحيل	تقرير	اداره · لوحه	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.436	Maintenance/dashboard_mnt.php	لوحة الإدارة — الصيانة	Procurement/dashboard_proc.php	لوحة الإدارة (dashboard_proc)	إدارة الصيانة ≠ إدارة المشتريات التشغيلية	تقرير	اداره · لوحه	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.436	Maintenance/dashboard_mnt.php	لوحة الإدارة — الصيانة	Procurement/warehouse_board.php	لوحة الإدارة (warehouse_board)	إدارة الصيانة ≠ إدارة المشتريات التشغيلية	تقرير	اداره · لوحه	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.431	Timesheet/timesheet_type.php	تسجيل التايم شيت والإنتاج — الحوكمة	Timesheet/timesheet.php	تسجيل التايم شيت والإنتاج — الموقع	الحوكمة والالتزام ≠ إدارة الموقع	شاشةٌ مستقلة	تايمشيت · تسجيل · والانتاج	يُرجَّح: زاويةُ نظرٍ مختلفةٌ لنفسِ البيانات
0.43	Suppliers/supplierscontracts.php	عقود الموردين	Suppliers/shares_coverage.php	حصص الموردين من العقود	إدارة الموردين	شاشةٌ مستقلة ≠ تقرير	عقد · مورد	يُرجَّح: الوظيفةُ نفسُها — دمجٌ أو منظر
