1	ادارة التشغيل	DEPARTMENT	المركز التنفيذي	مهامي	Portal/my_tasks.php	مكتب الرئيس التنفيذي والنواب	PLATFORM_SHARED	SHARED_WORK_ITEM	VALID	CONFIRMED	مهمةٌ أو اعتمادٌ يصل المستخدمَ من إدارةٍ أخرى	17		
2	ادارة التشغيل	DEPARTMENT	المركز التنفيذي	إنجازي	Portal/my_achievement.php	مكتب الرئيس التنفيذي والنواب	PLATFORM_SHARED	UNRESOLVED	VALID	PENDING	يلزم قرارُ المالك: منظرٌ مقيَّدٌ أم إزالة	16		
3	ادارة التشغيل	DEPARTMENT	المركز التنفيذي	طلباتي	FinRequests/my_requests.php	مكتب الرئيس التنفيذي والنواب	PLATFORM_SHARED	SHARED_WORK_ITEM	VALID	CONFIRMED	مهمةٌ أو اعتمادٌ يصل المستخدمَ من إدارةٍ أخرى	15		
4	ادارة التشغيل	DEPARTMENT	مركز العمل	بوابتي	Portal/my_portal.php	مساحة العمل الشخصية	PLATFORM_SHARED	PERSONAL_SPACE	VALID	CONFIRMED	مساحةٌ شخصيةٌ مشتركةٌ فوقَ الإدارات	16		
5	ادارة التشغيل	DEPARTMENT	مركز العمل	تسجيل التايم شيت والإنتاج — الحوكمة	Timesheet/timesheet_type.php	الحوكمة والالتزام	BUSINESS_DEPARTMENT	UNRESOLVED	VALID	PENDING	يلزم قرارُ المالك: منظرٌ مقيَّدٌ أم إزالة	2		
6	ادارة التشغيل	DEPARTMENT	الاعتمادات الواردة	خطة عمل الغد	Operations/daily_plan.php	إدارة الموقع	BUSINESS_DEPARTMENT	UNRESOLVED	VALID	PENDING	يلزم قرارُ المالك: منظرٌ مقيَّدٌ أم إزالة	4		
7	ادارة التشغيل	DEPARTMENT	الاعتمادات الواردة	تسجيل التايم شيت والإنتاج — الموقع	Timesheet/timesheet.php	إدارة الموقع	BUSINESS_DEPARTMENT	UNRESOLVED	VALID	PENDING	يلزم قرارُ المالك: منظرٌ مقيَّدٌ أم إزالة	9		
8	ادارة التشغيل	DEPARTMENT	ملفي الشخصي	مساحة عملي	main/my_workspace.php	مساحة العمل الشخصية	BUSINESS_DEPARTMENT	PERSONAL_SPACE	VALID	CONFIRMED	مساحةٌ شخصيةٌ مشتركةٌ فوقَ الإدارات	16		
9	ادارة التشغيل	DEPARTMENT	الظهور وضبط البوابة	مركز التقارير — الحوكمة	emsreports/index.php	الحوكمة والالتزام	BUSINESS_DEPARTMENT	UNRESOLVED	VALID	PENDING	يلزم قرارُ المالك: منظرٌ مقيَّدٌ أم إزالة	14		
10	ادارة التشغيل	DEPARTMENT	الظهور وضبط البوابة	الإعدادات	Settings/settings.php	الحوكمة والالتزام	BUSINESS_DEPARTMENT	CONTEXTUAL_READ_ONLY	VALID	CONFIRMED	منظرٌ مرجعيٌّ محدودٌ تحتاجه الإدارةُ لإكمالِ عملِها	6		
11	ادارة التشغيل	DEPARTMENT	الظهور وضبط البوابة	تصنيف قواعد المنع — الحوكمة — الظهور وضبط البوابة	Settings/guard_classification.php	الحوكمة والالتزام	BUSINESS_DEPARTMENT	UNRESOLVED	ERROR_SUSPECTED	PENDING	◆ لا تظهر إلا في هذه الإدارةِ ومالكُها غيرُها — يُراجَع المالك	1		
12	ادارة التشغيل	DEPARTMENT	العملاء والفرص	سجل العملاء	Clients/clients.php	المبيعات والعقود	BUSINESS_DEPARTMENT	CONTEXTUAL_READ_ONLY	VALID	CONFIRMED	منظرٌ مرجعيٌّ محدودٌ تحتاجه الإدارةُ لإكمالِ عملِها	2		
13	ادارة التشغيل	DEPARTMENT	العملاء والفرص	المشاريع والمواقع	Projects/projects.php	المبيعات والعقود	BUSINESS_DEPARTMENT	UNRESOLVED	VALID	PENDING	يلزم قرارُ المالك: منظرٌ مقيَّدٌ أم إزالة	3		
14	ادارة التشغيل	DEPARTMENT	الهيكل والأدوار	حسابات المستخدمين	main/users.php	الحوكمة والالتزام	BUSINESS_DEPARTMENT	UNRESOLVED	VALID	PENDING	يلزم قرارُ المالك: منظرٌ مقيَّدٌ أم إزالة	2		
15	ادارة التشغيل	DEPARTMENT	الهيكل والأدوار	الهيكل التنظيمي والمسميات	admin/org_structure.php	الحوكمة والالتزام	BUSINESS_DEPARTMENT	UNRESOLVED	VALID	PENDING	يلزم قرارُ المالك: منظرٌ مقيَّدٌ أم إزالة	4		
16	ادارة التشغيل	DEPARTMENT	الهيكل والأدوار	التكليفات التنظيمية	admin/org_assignments.php	الحوكمة والالتزام	BUSINESS_DEPARTMENT	UNRESOLVED	VALID	PENDING	يلزم قرارُ المالك: منظرٌ مقيَّدٌ أم إزالة	5		
17	ادارة التشغيل	DEPARTMENT	الهيكل والأدوار	ما ينتظر اعتمادي	Approvals/hours_approval.php	الحوكمة والالتزام	BUSINESS_DEPARTMENT	SHARED_WORK_ITEM	VALID	CONFIRMED	مهمةٌ أو اعتمادٌ يصل المستخدمَ من إدارةٍ أخرى	5		
